f0dp0	AAA43145	A/duck/33/1980	H3	1980	avian	gi|324086|gb|AAA43145| /Avian/HA/H3/4/Japan/1980/// hemagglutinin precursor [Influenza A virus (A/duck/33/1980(H3))]	1980/00/00/
f0dp1	AAA18781	A/Philippines/2/1982	H3N2	1982	human	gi|497236|gb|AAA18781| /Human/HA/H3N2/4/Philippines/1982/// hemagglutinins HA1 and HA2 precursor[Influenza A virus (A/Philippines/2/1982(H3N2))]	1982/00/00/
f0dp2	CAA86540	A/England/7/1994	H3N2	1994	human	gi|609048|gb|CAA86540| /Human/HA/H3N2/4/United Kingdom/1994/// haemagglutinin [Influenza A virus (A/England/7/1994(H3N2))]	1994/00/00/
f0dp3	CAA86541	A/Guangdong/25/1993	H3N2	1993	human	gi|609050|gb|CAA86541| /Human/HA/H3N2/4/China/1993/// haemagglutinin [Influenza A virus (A/Guangdong/25/1993(H3N2))]	1993/00/00/
f0dp4	CAA86543	A/Hong Kong/2/1994	H3N2	1994	human	gi|609056|gb|CAA86543| /Human/HA/H3N2/4/Hong Kong/1994/// haemagglutinin [Influenza A virus (A/Hong Kong/2/1994(H3N2))]	1994/00/00/
f0dp5	CAA86548	A/Scotland/142/1993	H3N2	1993	human	gi|609060|gb|CAA86548| /Human/HA/H3N2/4/United Kingdom/1993/// haemagglutinin [Influenza A virus (A/Scotland/142/1993(H3N2))]	1993/00/00/
f0dp6	CAA86549	A/Scotland/160/1993	H3N2	1993	human	gi|609062|gb|CAA86549| /Human/HA/H3N2/4/United Kingdom/1993/// haemagglutinin [Influenza A virus (A/Scotland/160/1993(H3N2))]	1993/00/00/
f0dp7	AAB66732	A/Guizhou/54/89	H3N2	1989	human	gi|2271055|gb|AAB66732| /Human/HA/H3N2/4/China/1989/// hemagglutinin[Influenza A virus (A/Guizhou/54/89(H3N2))]	1989/00/00/
f0dp8	AAB66764	A/Victoria/68/92	H3N2	1992	human	gi|2271119|gb|AAB66764| /Human/HA/H3N2/4/Australia/1992/// hemagglutinin[Influenza A virus (A/Victoria/68/92(H3N2))]	1992/00/00/
f0dp9	AAB66778	A/Hong_Kong/357/96	H3N2	1996	human	gi|2271147|gb|AAB66778| /Human/HA/H3N2/4/Hong Kong/1996/// hemagglutinin[Influenza A virus (A/Hong_Kong/357/96(H3N2))]	1996/00/00/
f0dp10	AAB66792	A/Nanchang/933/95	H3N2	1995	human	gi|2271175|gb|AAB66792| /Human/HA/H3N2/4/China/1995/// hemagglutinin[Influenza A virus (A/Nanchang/933/95(H3N2))]	1995/00/00/
f0dp11	AAB63692	A/Hong_Kong/3/95	H3N2	1995	human	gi|2271235|gb|AAB63692| /Human/HA/H3N2/4/Hong Kong/1995/// hemagglutinin gene[Influenza A virus (A/Hong_Kong/3/95(H3N2))]	1995/00/00/
f0dp12	AAB63706	A/Hong_Kong/42/96	H3N2	1996	human	gi|2271263|gb|AAB63706| /Human/HA/H3N2/4/Hong Kong/1996/// hemagglutinin gene[Influenza A virus (A/Hong_Kong/42/96(H3N2))]	1996/00/00/
f0dp13	AAB69809	A/Caen/1/84	H3N2	1984	human	gi|2275475|gb|AAB69809| /Human/HA/H3N2/4/France/1984/// hemagglutinin[Influenza A virus (A/Caen/1/84(H3N2))]	1984/00/00/
f0dp14	AAB69826	A/Sichuan/2/1987	H3N2	1987	human	gi|2275509|gb|AAB69826| /Human/HA/H3N2/4/China/1987/// hemagglutinin[Influenza A virus (A/Sichuan/2/1987(H3N2))]	1987/00/00/
f0dp15	AAB69828	A/Shanghai/11/1987	H3N2	1987	human	gi|2275513|gb|AAB69828| /Human/HA/H3N2/4/China/1987/// hemagglutinin[Influenza A virus (A/Shanghai/11/1987(H3N2))]	1987/00/00/
f0dp16	AAB69830	A/Victoria/7/1987	H3N2	1987	human	gi|2275517|gb|AAB69830| /Human/HA/H3N2/4/Australia/1987/// hemagglutinin[Influenza A virus (A/Victoria/7/1987(H3N2))]	1987/00/00/
f0dp17	AAB69845	A/Leningrad/360/1986	H3N2	1986	human	gi|2275547|gb|AAB69845| /Human/HA/H3N2/4/Russia/1986/// hemagglutinin[Influenza A virus (A/Leningrad/360/1986(H3N2))]	1986/00/00/
f0dp18	AAB69847	A/Christchurch/2/1988	H3N2	1988	human	gi|2275551|gb|AAB69847| /Human/HA/H3N2/4/New Zealand/1988/// hemagglutinin[Influenza A virus (A/Christchurch/2/1988(H3N2))]	1988/00/00/
f0dp19	AAC78096	A/Port Chalmers/1/1973	H3N2	1973	human	gi|3885872|gb|AAC78096| /Human/HA/H3N2/4/New Zealand/1973/// hemagglutinin[Influenza A virus (A/Port Chalmers/1/1973(H3N2))]	1973/00/00/
f0dp20	BAA21070	A/Beijing/352/1989	H3N2	1989	human	gi|4433070|gb|BAA21070| /Human/HA/H3N2/4/China/1989/// hemagglutinin [Influenza A virus (A/Beijing/352/1989(H3N2))]	1989/00/00/
f0dp21	AAF06949	A/Lyon/1781/96 	H3N2	1996	human	gi|6318564|gb|AAF06949| /Human/HA/H3N2/4/France/1996/// hemagglutinin HA1 domain[Influenza A virus (A/Lyon/1781/96 (H3N2))]	1996/00/00/
f0dp22	AAF13705	A/Hong Kong/1/1968	H3N2	1968	human	gi|6470273|gb|AAF13705| /Human/HA/H3N2/4/Hong Kong/1968/// hemagglutinin[Influenza A virus (A/Hong Kong/1/1968(H3N2))]	1968/00/00/
f0dp23	AAF16422	A/Hong Kong/434/96	H3N2	1996	human	gi|6552616|gb|AAF16422| /Human/HA/H3N2/4/Hong Kong/1996/// hemagglutinin[Influenza A virus (A/Hong Kong/434/96(H3N2))]	1996/00/00/
